year,sum_land,win_land,aut_land,tot_land ,yield,rainfall,temp
1997,8850,103015,83560,,52035,,
1998,16435,88835,83355,,66674,,
1999,18637,104375,83830,,66752,,
2000,,,,,,,
2001,,,,,,,
2002,,,,,,,
2003,,,,,,,
2004,,,,,,,
2005,12650,66229,17083,,125729,,
2006,12737,52195,26235,,116814,,
2007,7124,58558,21551,,107853,,
2008,11712,69495,13587,,164203,,
2009,10524,68453,13217,,147707,,
2010,6000,84168,11562,,160856,,
2011,2500,85450,10325,,36228,,
2012,2520,85485,11780,,28335,,
2013,2750,85730,10200,,39179,,
2014,3050,86070,10800,,64392,,
