year,min_temp,max_temp,avg_rainfall,area,autumn,summer,winter,yield,baksa,barpeta,bongaigaon,cachar,chirang,darrang,dhemaji,dhubri,dibrugarh,dima_hasao,goalpara,golaghat,hailakandi,jorhat,kamrup,kamrup_metro,karbi_anglong,karimganj,kokrajhar,lakhimpur,morigaon,nagaon,nalbari,sivsagar,sonitpur,tinsukia,udalguri
2005,19.58,29.6,2314.8,17083,1,0,0,15415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,19.58,29.6,2314.8,12650,0,1,0,17027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,19.58,29.6,2314.8,66229,0,0,1,93287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,20.07,30.06,1777.4,26235,1,0,0,23208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,20.07,30.06,1777.4,12737,0,1,0,25691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,20.07,30.06,1777.4,52195,0,0,1,67915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,19.69,29.84,2414.6,21551,1,0,0,20266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,19.69,29.84,2414.6,7124,0,1,0,14341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,19.69,29.84,2414.6,58558,0,0,1,73246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,19.6,29.64,2271.2,13587,1,0,0,18640,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,19.6,29.64,2271.2,11712,0,1,0,20949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,19.6,29.64,2271.2,69495,0,0,1,124614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,19.94,30.3,1863,13217,1,0,0,21279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,19.94,30.3,1863,10524,0,1,0,16463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,19.94,30.3,1863,68453,0,0,1,109965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,20.15,30.13,2498.7,11562,1,0,0,13489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,20.15,30.13,2498.7,6000,0,1,0,13150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,20.15,30.13,2498.7,84168,0,0,1,134217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19.58,29.82,1758.3,10325,1,0,0,14340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19.58,29.82,1758.3,2500,0,1,0,5595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19.58,29.82,1758.3,85450,0,0,1,153149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,19.54,29.81,2321.3,11780,1,0,0,16636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,19.54,29.81,2321.3,2520,0,1,0,6137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,19.54,29.81,2321.3,85485,0,0,1,157009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,19.83,29.81,1682.6,10200,1,0,0,16672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,19.83,29.81,1682.6,2750,0,1,0,5885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,19.83,29.81,1682.6,85730,0,0,1,161484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,19.77,29.72,2171.9,10800,1,0,0,18283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,19.77,29.72,2171.9,3050,0,1,0,6509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,19.77,29.72,2171.9,86070,0,0,1,195027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,19.21,29.05,2588.5,83560,1,0,0,43512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
