baksa,barpeta,bongaigaon,cachar,chirang,darrang,dhemaji,dhubri,dibrugarh,dima_hasao,goalpara,golaghat,hailakandi,jorhat,kamrup,kamrup_metro,karbi_anglong,karimganj,kokrajhar,lakhimpur,morigaon,nagaon,nalbari,sivsagar,sonitpur,tinsukia,udalguri,y97temp,y97mtemp,y97rain,y97area,y97yield,y98temp,y98mtemp,y98rain,y98area,y98yield,y99temp,y99mtemp,y99rain,y99area,y99yield,y00temp,y00mtemp,y00rain,y00area,y00yield,y01temp,y01mtemp,y01rain,y01area,y01yield,y02temp,y02mtemp,y02rain,y02area,y02yield,y03temp,y03mtemp,y03rain,y03area,y03yield,y04temp,y04mtemp,y04rain,y04area,y04yield,y05temp,y05mtemp,y05rain,y05area,y05yield,y06temp,y06mtemp,y06rain,y06area,y06yield,y07temp,y07mtemp,y07rain,y07area,y07yield,y08temp,y08mtemp,y08rain,y08area,y08yield,y09temp,y09mtemp,y09rain,y09area,y09yield,y10temp,y10mtemp,y10rain,y10area,y10yield,y11temp,y11mtemp,y11rain,y11area,y11yield,y12temp,y12mtemp,y12rain,y12area,y12yield,y13temp,y13mtemp,y13rain,y13area,y13yield,y14temp,y14mtemp,y14rain,y14area,y14yield
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,,,19.84,29.7,3072.9,,,19.53,29.81,2913.2,,,19.48,29.75,2729.3,,,19.49,29.99,2260.1,,,19.78,30.23,2530.4,,,19.7,29.75,2835.1,,,19.69,29.79,2890.9,,,19.58,29.6,2314.8,95962,125729,20.07,30.06,1777.4,91167,116814,19.69,29.84,2414.6,87233,107853,19.6,29.64,2271.2,94794,164203,19.94,30.3,1863,92194,147707,20.15,30.13,2498.7,101730,160856,19.58,29.82,1758.3,98275,173084,19.54,29.81,2321.3,99785,179782,19.83,29.81,1682.6,98680,184041,19.77,29.72,2171.9,99920,219819
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,195425,132932,19.84,29.7,3072.9,188825,172587,19.53,29.81,2913.2,206842,239123,19.48,29.75,2729.3,195855,239328,19.49,29.99,2260.1,172492,199234,19.78,30.23,2530.4,179225,185010,19.7,29.75,2835.1,175650,208520,19.69,29.79,2890.9,142630,115615,19.58,29.6,2314.8,118152,135634,20.07,30.06,1777.4,111890,114291,19.69,29.84,2414.6,104214,119575,19.6,29.64,2271.2,164341,221521,19.94,30.3,1863,172062,266545,20.15,30.13,2498.7,165743,314231,19.58,29.82,1758.3,157976,298526,19.54,29.81,2321.3,125864,271472,19.83,29.81,1682.6,134698,298014,19.77,29.72,2171.9,135966,262510
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,92721,58114,19.84,29.7,3072.9,96263,91909,19.53,29.81,2913.2,98974,98374,19.48,29.75,2729.3,100713,103954,19.49,29.99,2260.1,101068,113542,19.78,30.23,2530.4,102917,123465,19.7,29.75,2835.1,102626,119231,19.69,29.79,2890.9,102834,109700,19.58,29.6,2314.8,76514,87602,20.07,30.06,1777.4,63552,60208,19.69,29.84,2414.6,66049,69578,19.6,29.64,2271.2,68440,82724,19.94,30.3,1863,65231,76907,20.15,30.13,2498.7,61628,100581,19.58,29.82,1758.3,62665,97778,19.54,29.81,2321.3,59593,105924,19.83,29.81,1682.6,56781,122486,19.77,29.72,2171.9,52849,115939
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,103478,110049,19.84,29.7,3072.9,102941,202758,19.53,29.81,2913.2,103464,181850,19.48,29.75,2729.3,104000,221685,19.49,29.99,2260.1,102093,224744,19.78,30.23,2530.4,105120,220058,19.7,29.75,2835.1,109196,234639,19.69,29.79,2890.9,103132,165442,19.58,29.6,2314.8,109866,218792,20.07,30.06,1777.4,101578,165560,19.69,29.84,2414.6,99652,98783,19.6,29.64,2271.2,111520,234645,19.94,30.3,1863,110260,226989,20.15,30.13,2498.7,104599,225323,19.58,29.82,1758.3,106372,206068,19.54,29.81,2321.3,107139,232979,19.83,29.81,1682.6,96477,176287,19.77,29.72,2171.9,107882,245893
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,,,19.84,29.7,3072.9,,,19.53,29.81,2913.2,,,19.48,29.75,2729.3,,,19.49,29.99,2260.1,,,19.78,30.23,2530.4,,,19.7,29.75,2835.1,,,19.69,29.79,2890.9,,,19.58,29.6,2314.8,43114,49402,20.07,30.06,1777.4,51482,63413,19.69,29.84,2414.6,53633,51782,19.6,29.64,2271.2,51381,49147,19.94,30.3,1863,51796,69505,20.15,30.13,2498.7,52825,77487,19.58,29.82,1758.3,51099,60697,19.54,29.81,2321.3,57160,83505,19.83,29.81,1682.6,46856,75939,19.77,29.72,2171.9,45525,72856
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,169682,119593,19.84,29.7,3072.9,158886,174233,19.53,29.81,2913.2,186576,210079,19.48,29.75,2729.3,200833,248055,19.49,29.99,2260.1,188190,268033,19.78,30.23,2530.4,170537,205562,19.7,29.75,2835.1,156616,215359,19.69,29.79,2890.9,144886,156152,19.58,29.6,2314.8,75166,108846,20.07,30.06,1777.4,50338,67911,19.69,29.84,2414.6,58689,96660,19.6,29.64,2271.2,79653,144653,19.94,30.3,1863,79356,129879,20.15,30.13,2498.7,85301,188325,19.58,29.82,1758.3,79722,181473,19.54,29.81,2321.3,76278,179283,19.83,29.81,1682.6,69689,161316,19.77,29.72,2171.9,69073,173092
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,62000,48090,19.84,29.7,3072.9,51073,57930,19.53,29.81,2913.2,71931,95753,19.48,29.75,2729.3,72174,100739,19.49,29.99,2260.1,72257,90844,19.78,30.23,2530.4,70460,76623,19.7,29.75,2835.1,71802,75434,19.69,29.79,2890.9,74392,78789,19.58,29.6,2314.8,82678,90504,20.07,30.06,1777.4,77750,93509,19.69,29.84,2414.6,74409,94174,19.6,29.64,2271.2,72185,74382,19.94,30.3,1863,71937,92968,20.15,30.13,2498.7,76957,98711,19.58,29.82,1758.3,78742,107585,19.54,29.81,2321.3,79995,127930,19.83,29.81,1682.6,82350,129145,19.77,29.72,2171.9,85539,131692
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,134712,75192,19.84,29.7,3072.9,134991,138898,19.53,29.81,2913.2,151677,220447,19.48,29.75,2729.3,132572,194721,19.49,29.99,2260.1,131011,196143,19.78,30.23,2530.4,128915,200019,19.7,29.75,2835.1,125891,190485,19.69,29.79,2890.9,105963,164417,19.58,29.6,2314.8,93273,145804,20.07,30.06,1777.4,88963,150997,19.69,29.84,2414.6,89125,160696,19.6,29.64,2271.2,99303,171166,19.94,30.3,1863,95928,162274,20.15,30.13,2498.7,94785,227100,19.58,29.82,1758.3,92580,225084,19.54,29.81,2321.3,92948,249028,19.83,29.81,1682.6,86604,236285,19.77,29.72,2171.9,86058,236461
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,88218,102958,19.84,29.7,3072.9,84628,130295,19.53,29.81,2913.2,85075,134783,19.48,29.75,2729.3,87161,154011,19.49,29.99,2260.1,86053,134984,19.78,30.23,2530.4,863990,126663,19.7,29.75,2835.1,83683,150028,19.69,29.79,2890.9,82800,148147,19.58,29.6,2314.8,79786,127191,20.07,30.06,1777.4,71929,111046,19.69,29.84,2414.6,58846,93732,19.6,29.64,2271.2,70544,135347,19.94,30.3,1863,75014,154935,20.15,30.13,2498.7,76097,162958,19.58,29.82,1758.3,77409,105259,19.54,29.81,2321.3,77587,161327,19.83,29.81,1682.6,78070,148054,19.77,29.72,2171.9,74728,129091
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,29.05,2588.5,14153,16061,19.84,29.7,3072.9,11860,19709,19.53,29.81,2913.2,13829,22345,19.48,29.75,2729.3,13945,22016,19.49,29.99,2260.1,14046,24126,19.78,30.23,2530.4,14447,24492,19.7,29.75,2835.1,12825,19424,19.69,29.79,2890.9,14398,24571,19.58,29.6,2314.8,14488,24509,20.07,30.06,1777.4,13988,18554,19.69,29.84,2414.6,14531,26725,19.6,29.64,2271.2,14539,25593,19.94,30.3,1863,15978,28871,20.15,30.13,2498.7,15247,21664,19.58,29.82,1758.3,15570,36087,19.54,29.81,2321.3,16193,36958,19.83,29.81,1682.6,15823,31837,19.77,29.72,2171.9,14700,34511
