districts,y05temp,y05mtemp,y05rain,y05area,y05yield,y06temp,y06mtemp,y06rain,y06area,y06yield,y07temp,y07mtemp,y07rain,y07area,y07yield,y08temp,y08mtemp,y08rain,y08area,y08yield,y09temp,y09mtemp,y09rain,y09area,y09yield,y10temp,y10mtemp,y10rain,y10area,y10yield,y11temp,y11mtemp,y11rain,y11area,y11yield,y12temp,y12mtemp,y12rain,y12area,y12yield,y13temp,y13mtemp,y13rain,y13area,y13yield,y14temp,y14mtemp,y14rain,y14area,y14yield
1,19.58,29.6,2314.8,95962,125729,20.07,30.06,1777.4,91167,116814,19.69,29.84,2414.6,87233,107853,19.6,29.64,2271.2,94794,164203,19.94,30.3,1863,92194,147707,20.15,30.13,2498.7,101730,160856,19.58,29.82,1758.3,98275,173084,19.54,29.81,2321.3,99785,179782,19.83,29.81,1682.6,98680,184041,19.77,29.72,2171.9,99920,219819
2,19.58,29.6,2314.8,118152,135634,20.07,30.06,1777.4,111890,114291,19.69,29.84,2414.6,104214,119575,19.6,29.64,2271.2,164341,221521,19.94,30.3,1863,172062,266545,20.15,30.13,2498.7,165743,314231,19.58,29.82,1758.3,157976,298526,19.54,29.81,2321.3,125864,271472,19.83,29.81,1682.6,134698,298014,19.77,29.72,2171.9,135966,262510
3,19.58,29.6,2314.8,76514,87602,20.07,30.06,1777.4,63552,60208,19.69,29.84,2414.6,66049,69578,19.6,29.64,2271.2,68440,82724,19.94,30.3,1863,65231,76907,20.15,30.13,2498.7,61628,100581,19.58,29.82,1758.3,62665,97778,19.54,29.81,2321.3,59593,105924,19.83,29.81,1682.6,56781,122486,19.77,29.72,2171.9,52849,115939
4,19.58,29.6,2314.8,109866,218792,20.07,30.06,1777.4,101578,165560,19.69,29.84,2414.6,99652,98783,19.6,29.64,2271.2,111520,234645,19.94,30.3,1863,110260,226989,20.15,30.13,2498.7,104599,225323,19.58,29.82,1758.3,106372,206068,19.54,29.81,2321.3,107139,232979,19.83,29.81,1682.6,96477,176287,19.77,29.72,2171.9,107882,245893
5,19.58,29.6,2314.8,43114,49402,20.07,30.06,1777.4,51482,63413,19.69,29.84,2414.6,53633,51782,19.6,29.64,2271.2,51381,49147,19.94,30.3,1863,51796,69505,20.15,30.13,2498.7,52825,77487,19.58,29.82,1758.3,51099,60697,19.54,29.81,2321.3,57160,83505,19.83,29.81,1682.6,46856,75939,19.77,29.72,2171.9,45525,72856
6,19.58,29.6,2314.8,75166,108846,20.07,30.06,1777.4,50338,67911,19.69,29.84,2414.6,58689,96660,19.6,29.64,2271.2,79653,144653,19.94,30.3,1863,79356,129879,20.15,30.13,2498.7,85301,188325,19.58,29.82,1758.3,79722,181473,19.54,29.81,2321.3,76278,179283,19.83,29.81,1682.6,69689,161316,19.77,29.72,2171.9,69073,173092
7,19.58,29.6,2314.8,82678,90504,20.07,30.06,1777.4,77750,93509,19.69,29.84,2414.6,74409,94174,19.6,29.64,2271.2,72185,74382,19.94,30.3,1863,71937,92968,20.15,30.13,2498.7,76957,98711,19.58,29.82,1758.3,78742,107585,19.54,29.81,2321.3,79995,127930,19.83,29.81,1682.6,82350,129145,19.77,29.72,2171.9,85539,131692
8,19.58,29.6,2314.8,93273,145804,20.07,30.06,1777.4,88963,150997,19.69,29.84,2414.6,89125,160696,19.6,29.64,2271.2,99303,171166,19.94,30.3,1863,95928,162274,20.15,30.13,2498.7,94785,227100,19.58,29.82,1758.3,92580,225084,19.54,29.81,2321.3,92948,249028,19.83,29.81,1682.6,86604,236285,19.77,29.72,2171.9,86058,236461
9,19.58,29.6,2314.8,79786,127191,20.07,30.06,1777.4,71929,111046,19.69,29.84,2414.6,58846,93732,19.6,29.64,2271.2,70544,135347,19.94,30.3,1863,75014,154935,20.15,30.13,2498.7,76097,162958,19.58,29.82,1758.3,77409,105259,19.54,29.81,2321.3,77587,161327,19.83,29.81,1682.6,78070,148054,19.77,29.72,2171.9,74728,129091
10,19.58,29.6,2314.8,14488,24509,20.07,30.06,1777.4,13988,18554,19.69,29.84,2414.6,14531,26725,19.6,29.64,2271.2,14539,25593,19.94,30.3,1863,15978,28871,20.15,30.13,2498.7,15247,21664,19.58,29.82,1758.3,15570,36087,19.54,29.81,2321.3,16193,36958,19.83,29.81,1682.6,15823,31837,19.77,29.72,2171.9,14700,34511
