districts,y05area,y05yield,y06area,y06yield,y07area,y07yield,y08area,y08yield,y09area,y09yield,y10area,y10yield,y11area,y11yield,y12area,y12yield,y13area,y13yield,y14area,y14yield,avg_yield
1,95962,125729,91167,116814,87233,107853,94794,164203,92194,147707,101730,160856,98275,173084,99785,179782,98680,184041,99920,219819,151118.7778
2,118152,135634,111890,114291,104214,119575,164341,221521,172062,266545,165743,314231,157976,298526,125864,271472,134698,298014,135966,262510,207774
3,76514,87602,63552,60208,66049,69578,68440,82724,65231,76907,61628,100581,62665,97778,59593,105924,56781,122486,52849,115939,95416.29412
4,109866,218792,101578,165560,99652,98783,111520,234645,110260,226989,104599,225323,106372,206068,107139,232979,96477,176287,107882,245893,196861.8235
5,43114,49402,51482,63413,53633,51782,51381,49147,51796,69505,52825,77487,51099,60697,57160,83505,46856,75939,45525,72856,64541.88889
6,75166,108846,50338,67911,58689,96660,79653,144653,79356,129879,85301,188325,79722,181473,76278,179283,69689,161316,69073,173092,167965.4118
7,82678,90504,77750,93509,74409,94174,72185,74382,71937,92968,76957,98711,78742,107585,79995,127930,82350,129145,85539,131692,90182.94118
8,93273,145804,88963,150997,89125,160696,99303,171166,95928,162274,94785,227100,92580,225084,92948,249028,86604,236285,86058,236461,182868
9,79786,127191,71929,111046,58846,93732,70544,135347,75014,154935,76097,162958,77409,105259,77587,161327,78070,148054,74728,129091,134218.7059
10,14488,24509,13988,18554,14531,26725,14539,25593,15978,28871,15247,21664,15570,36087,16193,36958,15823,31837,14700,34511,24914.23529
11,77696,118630,72213,100743,78400,124885,83310,149644,81708,140304,83139,196858,76690,144464,82610,184895,83159,208282,84268,193831,128964.8235
12,80328,156065,62786,100871,79269,151322,80040,156309,106706,221921,109515,246271,108035,231090,123929,290319,124151,295077,123624,276255,183776
13,46800,91223,42550,83414,47160,92378,49856,115628,47009,117009,48073,108459,50600,112205,45600,111649,46675,113866,45343,126300,93803.94118
14,88199,140837,75116,86589,86584,116115,86852,137020,97045,188179,92814,181879,92745,168045,80317,176264,94111,188725,91893,176550,150028
15,124354,211314,90175,137976,118239,218431,122238,227971,118408,228253,118873,280425,122730,235864,116838,238027,121339,274260,113627,260897,232299.1765
16,19166,34271,23283,37209,25155,46175,29465,52296,27807,56151,29333,70609,29761,65019,29588,68668,29228,69552,29210,64756,55550
17,127208,185275,124173,179458,122706,190463,125897,189298,124513,250017,126100,237248,121565,174402,128421,199171,130200,219917,127996,218189,187159.1176
18,75350,120498,74126,143435,76431,118750,76311,180718,75665,176365,73574,150587,74435,199742,78645,153301,77499,153970,77402,143230,145413.4118
19,109808,130563,98207,112686,108479,131035,93805,112131,103016,158273,109423,192738,106067,185448,109450,181125,109489,223102,108382,212989,132793.0588
20,121399,126269,121815,84095,121644,91760,123588,74626,135774,177271,140562,246414,150564,260526,145301,311093,141100,260565,124166,260743,150714.8824
21,58500,89200,74181,92710,84027,114692,76726,140362,78395,153250,90001,191079,89997,205997,81204,195093,90115,248499,89922,214226,155397.2941
22,213682,338746,169298,271673,192612,316760,195199,313826,181859,380893,184147,352779,192092,324203,178355,369528,196651,436123,201733,410571,372025.1765
23,81256,104967,81567,108034,80500,130048,80350,138973,76679,131374,76092,166991,79725,140956,81062,169112,77930,153374,76375,184445,150296.3529
24,101291,185547,97173,145336,93494,158252,106410,259636,101637,238707,93178,222519,97094,214215,95836,237046,96532,207244,97859,206090,195434.3529
25,169266,236669,127270,129563,167078,220042,173384,252950,156238,241466,168275,359567,172915,309727,162954,349919,166054,340728,173087,380946,241275.1765
26,59284,79908,60437,75723,62873,86936,65730,92736,66473,95041,64630,128576,64642,118024,59059,95651,62321,105835,63513,105543,94380.23529
27,77741,88443,79552,64196,72964,91186,88265,110930,88908,97370,94814,122194,95639,134110,93017,161003,90619,130856,94657,165220,111143.1111
